id_shortcode,text,topic,label
CtB5DJfvTKB,"Hari Sepeda Sedunia adalah peringatan untuk menarik perhatian masyarakat pada manfaat menggunakan sepeda sebagai sarana transportasi berkelanjutan yang sederhana, terjangkau, bersih, dan ramah lingkungan. 

Sistem transportasi berkelanjutan dapat mendorong pertumbuhan ekonomi sambil memperkuat perang melawan perubahan iklim untuk mencapai tujuan pembangunan berkelanjutan.

Sepeda berkontribusi pada peningkatan udara yang lebih bersih dan mengurangi kemacetan. Sepeda juga membuat layanan sosial, pendidikan, dan perawatan kesehatan lebih mudah diakses oleh populasi yang paling rentan.

Selamat Hari Sepeda Sedunia, Solusi Tanpa Polusi.

#worldbicycleday #harisepedadunia #harisepedasedunia #3juni #ilmulingkungan #ramahlingkungan #magisterilmulingkungan #pascasarjanailmulingkungan #magisters2 #pascasarjanas2 #ahlilingkungan #sarjanalingkungan #mahasiswailmulingkungan",Environment,POSITIVE
CsGNg68P8i3,"1152023. BALI SRUTI MENGHADIRI THE WORLD MARCH OF WOMEN-INDONESIA

Bali Sruti menghadiri undangan dari The World March of Women-Asia Pacific dan The World March of Women-Indonesia untuk mengikuti forum publik tentang krisis iklim, militerisme, dan intervensi feminis.

Pertemuan ini dihadiri oleh feminis dari Kaledonia Baru, Guam, Filipina, Indonesia, Korea Selatan, dan Turki. Dalam kesempatan tersebut, masing-masing negara menceritakan (sharing) tentang bagaimana perubahan iklim atau juga militerisme berdampak kepada perempuan.

Bali Sruti sebagai salah satu yang diundang turut menyampaikan pandangannya tentang situasi yang terjadi di Bali. Perubahan iklim menyebabkan bencana banyak terjadi di Bali.  Pendapatan masyarakat menurun karena bencana. Ketika itu terjadi, semua akan berdampak ke masyarakat, terutama masyarakat miskin, yang mana masyarakat miskin yang dominan adalah perempuan. 

Akibatnya kekerasan terhadap perempuan meningkat dan ketimpangan gender semakin melebar. Mirisnya lagi, ketika banyak perempuan mengalami kekerasan, mereka urung speak up.

#BaliSruti
#KekerasanTerhadapPerempuan
#KrisisIklim",Climate change,NEGATIVE
CtBRrDZuPxu,"Sabtu adalah Hari Sepeda Sedunia, sebuah kesempatan untuk meningkatkan kesadaran tentang manfaat sepeda, yang digunakan di seluruh dunia sebagai mode transportasi berkelanjutan yang sederhana, terjangkau & efisien.
Sepeda adalah alat yang hebat untuk membantu mencapai #TujuanGlobal, mengambil #AksiIklim, meningkatkan akses ke pendidikan, mempromosikan kesejahteraan, dan banyak lagi.
Maka dari itu Saya SANGAT mendukung acara kegiatan Fun bike dan kejuaraan sepedah yang akan diselenggarakan oleh  @***.ri  @*** 
Tapi saya tidak sepakat dengan narasi  Export  Pasir Laut ITU ibarat Kata Membunuh Secara Masal dengan Jangka Panjang.  Membunuh manusia dan juga mahluk yang ada di muka bumi ini. 
Termasuk membunuh ide dan Gagasan yang sudah di rencanakan baik di serangakaian acara KTT ASEAN G7 dan G20 
Dan Menginjak nginjak martabat dan kehormatan para steakholder yang sudah terlibat di Event Asean dan international. 
DENGAN Tujuan yang sangat mulia untuk menjaga keseimbangan Alam dan mahluk yang ada di Bumi.  Kini  semuanya Itu,  PERCUMA apapun narasi dan alasannya. 
Bagi Saya SEBAGAI pemuda inovasi dan juga ambbasador Internasional sangat sangat kecewa dan menyayangkan sekali Arah kebijakan pemerintahan Bapak President @***  dan  @***.pandjaitan  Serta jajaran yang mengizinkan kembali Pembukaan  Pasir Laut untuk dijual yang jelas tidak akan ada DAMPAK fositif UNTUK semua pihak justru akan memberikan dampak negative yang sangat luar Biasa.",Climate change,NEGATIVE
CyK1bg8LIsC,"PT Vale Indonesia Tbk mengoperasikan pabrik peleburan nikelnya di Sorowako, Sulawesi Selatan, dengan memanfaatkan tiga Pembangkit Listrik Tenaga Air (PLTA) yang berlokasi dekat sebagai sumber energi, sebagai bagian dari usahanya untuk beralih dari penggunaan bahan bakar fosil menuju energi terbarukan. 

CEO PT Vale Indonesia Tbk, Febriany Eddy, mengungkapkan bahwa lebih dari lima belas triliun telah diinvestasikan dalam pembangunan dan pengoperasian ketiga PLTA yang menyediakan pasokan energi untuk operasional perusahaan. 

Hasil dari investasi tersebut, setelah beberapa tahun, telah menghasilkan penurunan biaya operasional PT Vale Indonesia menjadi salah satu yang paling kecil dalam kategori produsen Nikel Laterit.

""Hal ini dikarenakan kami mempunyai pembangkit listrik tenaga air, sehingga pembangkit listrik tenaga air tidak hanya mengurangi emisi karbon tetapi juga mengurangi biaya yang kita keluarkan saat ini,” kata Febriany dalam siaran pers, Minggu (8/10/2023). 

“Sebab, kita tidak lagi terlalu fluktuatif terhadap biaya bahan bakar dan batu bara. Karena kita punya pembangkit listrik tenaga air,"" tambahnya. 
#transisienergi #valeindonesia #netzeroemisi",Energy,POSITIVE
CsdgfgcS6M4,"KOLOM: SOLUSI LINTAS ILMU, NEGARA, DAN GENERASI

Tulisan saya di GBN.top tentang solusi menghadapi polikrisis, khususnya masalah lingkungan, dapat dibaca di 
tinyurl.com/solusilintas

Polikrisis merupakan gabungan risiko sistemik global seperti perubahan iklim, hilangnya keanekaragaman hayati, pandemi, melebarnya kesenjangan ekonomi, ekstremisme ideologis, dampak sosial digitalisasi, dan meningkatnya kerusuhan sosial dan politik.

Selain solusi teknis modern, ada pula kearifan lokal dalam pengelolaan sumber daya alam dan lingkungan hidup. Sayangnya, kearifan yang umumnya mencakup nilai-nilai, budaya dan ideologi ini kadang luput dari perhatian masyarakat luas.

Berbagai upaya menyikapi masalah lingkungan hidup yang dilakukan oleh individu, korporasi, maupun pemerintah, akan memperoleh hasil maksimal jika pelakunya memiliki sustainability mindset, atau pola pikir keberlanjutan.

#polikrisis #krisisiklim #sustainabilitymindset #lintasilmu #lintasnegara #lintasgenerasi",Climate change,NEUTRAL
ClikekUhu_s,"Sobat Geo! 🌋

Kebayang gak sih kalau bertahun-tahun memanfaatkan energi fosil, sudah mendapat penghasilan dari sana dan harus berpindah ke energi terbarukan? Pasti kebayang bakalan susahnya kan sob? 😔

Eits, tapi jangan risau sob! Dengan cara berikut apabila dilaksanakan dengan komitmen yang kuat, mimin yakin nih bakalan menjadi transformasi ekonomi menjadi lebih baik lagi! 😁💪
 
#pembangkitlistrik #pembangkitlistriktenagapanasbumi
#pembangkitlistriktenagauap #energiterbarukan #infoterbarukan
#energi #emisi #nolemisikarbon #komunitasenergiterbarukan #kabarterbarukan #indonesia",Pollution,POSITIVE
CbRW-YTBWmC,"Terranian, sekarang sudah bukan saatnya hanya berpikir mengenai sampah tetapi sudah saatnya kita harus bertindak.

Mari bersama wujudkan Indonesia bebas sampah dengan sistem terintegrasi Terra BePro!

#terrabepro #wastemanagement #olahsampah #pilahsampah #manajemenlimbah #manajemensampah #pedulisampah #pedulilingkungan #zerowaste #wasteissues #sampah #daurulangsampah #reducewaste #recycle #zerowasteliving #sustainableliving",Waste,POSITIVE
CsVkU4WLeIY,"Mahasiswa Universitas Airlangga (UNAIR) Surabaya berhasil menciptakan sabun kertas ramah lingkungan yang mendapat pengakuan internasional dalam ajang Green Invention World 2023 di Belgia. 

Sabun kertas tersebut terbuat dari bahan-bahan alami dan dapat terurai secara alami sehingga ramah lingkungan. Karya mahasiswa UNAIR ini diharapkan dapat menjadi solusi untuk mengurangi pencemaran lingkungan akibat sampah plastik dari sabun konvensional.
.
.
Follow @***.id
Like, Comment, and Share~
.
Sumber : suarasurabaya
.
#UNAIR #ramahlingkungan #pencemaranlingkungan #sabunramahlingkungan #sampahplastik #sampah #penumpukansampah #recycle #daurulang #lingkungan #lingkunganhidup #greeninvention #green #plasteek #penghijauan #kamuharustau #universitas #belgia #anakbangsa",Waste,POSITIVE
Cs5LDKtRnvn,"Pemprov DKI Jakarta mewajibkan para pemilik kendaraan bermotor untuk lakukan uji emisi, jika tidak atau kendaraan tidak lolos uji emisi, ada 3 kebijakan sanksi yang disiapkan.

Kepala Dinas Lingkungan Hidup DKI Jakarta Asep Kuswanto menegaskan 3 kebijakan itu penting untuk dilakukan untuk memastikan semua kendaraan di Jakarta memenuhi ambang batas emisi gas buang sebagai syarat utama menjaga kualitas udara. Adapun sanksi kendaraan belum uji emisi yaitu sosialisasi penataan hukum, disinsentif parkir dan pengenaan denda bagi kendaraan yang belum uji emisi.

“Kendaraan yang sudah berumur lebih dari 3 tahun wajib uji emisi tiap tahunnya” tutur Asep.

Jika kendaraan tidak lakukan uji emisi, pertama akan dilakukan sosialisasi terlebih dahulu di jalan raya dengan Operasi Patuh 2023 pada 6-19 Juni 2023, uji emisi jadi salah satu objek dalam kegiatan tersebut.

“Polisi akan beri himbauan dan sosialisasi tentang pentingnya uji emisi ketika Operasi Patuh 2023” lanjutnya.

Kedua ialah menghapus insentif pajak parkir dimana pemilik kendaraan yang belum uji emisi diwajibkan bayar parkir lebih mahal. Saat ini sudah ada 11 lokasi yang menerapkan disinsentif parkir dan akan ditambah secara bertahap baik itu di lokasi parkir yang dikelola pemerintah maupun swasta. 

Simak berita selengkapnya di baperanews.com atau klik link di bio

Gambar :  moladin / tigorsihombing
-----------------------------------------------------------
#viral #baperanews #beritaupdate #kabarberita #ujiemisi #DKI #DinasLingkunganHidup #jakarta #PolusiUdara",Pollution,POSITIVE
B1CwKAjAmn_,"Kita yang tinggal di Indonesia ini sering terlena. Apalagi tinggal diiklim yang begitu memanjakan, didoktrin bahwa Indonesia yang kaya sumber dayanya, subur dan lain sebagainya. Kita lalu luput untuk mengelolanya.
.
Kita mengenal sumber daya alam terbarui tapi sangat salah sekali kalau kita menyimpulkan sumber daya ini lalu tidak terbatas. Sumber daya alam ini dapat terbarui dengan cara tertentu dan waktu tertentu. Apabila kita tidak memenuhi cara itu, maka tentunya sumber daya akan habis, apalagi jumlah manusia makin banyak.
.
Air bersih contohnya. Masih ingat siklus air yang kita pelajari waktu sekolah. Air hujan harusnya kembali ke tanah, menyerap melalui akar-akar pohon. mengisi kembali poket-poket air tanah.
.
Sekarang makin banyak lahan hutan beralih fungsi. Perkotaan tidak lagi meninggalkan daerah resapan yang cukup. Kita rata-rata mengambil air tanah, begitu digunakan langsung dibuang ke pembuangan. Begitu juga air hujan, air talang kebanyakan dialirkan ke saluran air juga. Hujan yang harusnya dapat mengisi kembali poket-poket sumber air, hanya jatuh ke bumi, lari ke pembuangan, sungai lalu ke laut. Tanpa sempat menyerap ke dalam tanah. Lama-lama air tanah habis.
.
Ditambah lagi dengan pemanasan global. Dengan meningkatnya suhu bumi, tanah jadi makin keras, air yang menguap meningkat. Sehingga bila kalian perhatikan sekarang kalau hujan debitnya dahsyat banget. Kalau dulu hujan itu syahdu, sekarang seperti amarah. Air yang turun begitu hebat itu, tidak lagi sanggup masuk ke tanah yang keras, apalagi jumlahnya banyak. Hanya sedikit yang bisa menyerap dalam satu waktu sehinggal sisanya menjadi limpasan air mengalir ke saluran pembuangan, sungai, laut. Begitu seterusnya. Ditambah lagi air  banyak sekali yang tercemar. Air tanah di Jakarta saja sekarang 80%nya tercemar E-coli.
.
Tak heran kan kalau kita kekurangan air sebentar lagi. Kita sendiri yang telah merusak siklusnya dan airnya sendiri. Jadi apa yang akan kamu dan aku lalukan?
.
----
.
#Repost @***
• • • • • •
Apa yang dapat kita lakukan untuk mencegahnya?

#airbersih #air #climatechange #climatecrisis #climateemergency #kelangkaanair #ketahananair #jawa #globalwarming #polu",Environment,NEGATIVE
CtijMiOLw0v,Indonesia juga berperan aktif dalam kerangka kerja ASEAN untuk memperkuat kerjasama regional dalam mengurangi emisi dan mencapai tujuan Net Zero Emission #arsjadrasjid Ketua Kadin #transisienergi #inklusifkolaboratif,Energy,POSITIVE
Cu3BblbtL49,"Smart Air Indonesia mengucapkan Selamat Tahun Baru Islam bagi seluruh masyarakat Indonesia yang merayakan!

Jadikanlah awal tahun ini sebagai momen untuk memperbaiki kualitas udara di sekitar kita. Dengan menggunakan air purifier Smart Air, mari bersama-sama menciptakan lingkungan yang bersih dan sehat untuk masa depan yang lebih baik.

#SmartAir #airpurifier #TheSqair #penyaringudara #pembersihudara #filterHEPA #hepafilter #indoorairpurifier #bestairpurifier #polusi #polusiudara #airpollution #pollution #health  #airconditioner #airquality #tahunbaruislam #muharram #tahunbaruhijriah",Pollution,POSITIVE
Cr-s0wqyl0V,"Diantara energi terbarukan lainnya, ternyata energi surya dan angin adalah yang termurah, Stroomers. 

Mari kita manfaatkan energi surya menggunakan panel surya dari Stroom.

#Stroom #StroomEnergy",Energy,POSITIVE
CuqefYILx70,"Pipa Pertamina Bocor, Warga Prabumulih Terpaksa Mandi Air Sumur Bercampur Minyak Mentah
***URL***
#pencemaran #lingkunganhidup #tumpahanminyak #klhk #walhi #greenpeace #osct #slickbar #burungpelikan #pertamina
@*** 
@*** 
@*** 
@***",Pollution,NEGATIVE
CtfspoqyGMl,"TAHUKAH KAMU ?


Di bawah permukaan, ada jalan raya biologis yang menghubungkan anggota kerajaan tumbuhan yang disebut ‘Wood Wide Web’ oleh para peneliti. Jaringan organik ini banyak beroperasi. 

Seperti internet kita, memungkinkan tanaman untuk berkomunikasi, memberikan nutrisi, dan bahkan memperingatkan satu sama lain jika ada potensi bahaya. 


#lindungihutan #perlindunganhutan #perubahaniklim #climatechange #IRIIndonesia",Climate change,NEUTRAL
Crn7CV3vbzI,"Kita seringkali membuang makanan yang masih layak konsumsi hanya karena sudah tidak enak atau bosan dengan rasanya. Atau terkadang makanan terbuang karena kita mengambil porsi terlalu banyak dan tidak habis.

Tahukah #wargijabar? Setiap orang Indonesia rata-rata membuang makanan setara dengan senilai Rp 2,1 juta per tahun nya looh!

Marilah kita bersama-sama menghargai makanan dan meminimalkan pembuangan makanan dengan memakan makanan dengan penuh kesadaran dan memanfaatkan sisa makanan dengan bijak.

Dengan melakukan hal kecil ini, kita juga turut berkontribusi dalam menjaga keberlanjutan lingkungan dan mengurangi dampak negatif terhadap bumi kita.

#dlhjabar #jabarjuara #pilahsampah #JabarJuaraLahirBatin #JawaBarat #HumasJabar #WestJava #RidwanKamil #UuRuzhanulUlum  #habiskanmakananmu #makansampaihabis #janganbuangmakanan #sampahmakanan #minimsampah #sampahorganik

#Reposted from @*** @***.jabar",Waste,POSITIVE
Crp-X4zy7xi,"Perubahan iklim di pedesaan secara nyata teah memberikan dampak negatif bagi para petani seperti ledakan hama penyakit, perubahan musim, banjir dan kekeringan. Perubahan iklim telah menghambat para petani dalam meningkatkan produktivitas padi dalam kurun waktu belakangan ini.

Menurut Sobat Pangan sendiri, bagaimana strategi yang harus dilakukan petani dalam meningkatkan produktivitas padi di tengah adanya krisis iklim?

#perubahaniklim #climatechange #ProduktivitasPadi #dampakperubahaniklim #hambatanbagipetani #dampaknegatifkrisisiklim #ketahananpangan #KedaulatanPangan #sektorpertanian",Climate change,NEGATIVE
CtGPzL-Bv63,"Di sekitar rumahmu banyak orang yang tiba-tiba sakit pernapasan gak?

Bisa jadi penyakit itu muncul akibat polusi udara yang berasal dari PLTU batubara milik industri atau PLTU captive.

Celakanya, jumlah PLTU itu terus bertambah dari tahun ke tahun karena dukungan besar dari pemerintah 😫

Kita kasih pantun kali yaaa biar gak terus nambah~

Jalan-jalan ke Pulau Bali
Tak lupa beli oleh-oleh pie susu
Biar kota kita tidak makin penuh polusi
Yuk, suarakan stop pembangunan PLTU baru!

#krisisiklim #bumibutuhaksi #aksiiklim #pukulmundurkrisisklim",Climate change,NEGATIVE
Ct3bZQqSRHM,"Hutan memiliki kemampuan sebagai regulator air, artinya ia mampu mengatur, menyokong proses alami dan menyediakan air bersih apabila ia dibiarkan tetap alami. Ia mampu menyimpan air di musim hujan dimana ketersediaan air berlimpah, ia juga mampu melepaskan air saat musim kemarau, saat dimana ketersediaan air sangat kurang.

Hutan menjadi satu hal yang sangat vital terhadap persediaan atau pasokan air bersih bagi manusia. Ia mampu menyaring dan membersihkan air lebih baik dan lebih murah daripada sistem yang diciptakan oleh manusia.

#BeatPlasticPollution #literasiuntukkonservasi #literasipusur #literacy4conservacy #literacy4sustainability #waterdefender #konservasiair #konservasi #konservasiair_Klaten #SDGS #Agenda2030 #water4life #Klatenbersinar #gotongroyong_konservasiair  #belajarkonservasi #dialogkonservasi #livinglibrary #keberlanjutanairtanah #krisisair #Klatenlestari #hariairsedunia #KeberlanjutanKlaten #SDGs_Klaten #WaterConservationMonth #waterconservation  #environmentalchallenges #environmentaleducation #EnvironmentDay #EnvironmentDay2023",Environment,POSITIVE
Crks62TPSXv,"Hallo Kawan-Kawan Pusyankeswannak👋

Sudahkah kalian mengetahui pemberitaan terkait pemanasan global yang saat ini sedang muncul di media massa?

Berdasarkan informasi, salah satu penyebab dari pemanasan global berasal dari sektor peternakan yaitu gas metana (CH4) yang dihasilkan dari feses serta hasil keluaran berupa sendawa dan kentut hewan ruminansia lho...

Namun, saat ini di beberapa wilayah sudah dikembangkan teknologi energi terbarukan dengan instalasi biogas. Instalasi Biogas ini dapat menekan laju pemanasan global dan bermanfaat juga untuk keperluan rumah tangga seperti penerangan maupun bahan bakar.

Cek infografis berikut ya untuk informasinya 😉

#PemanasanGlobal
#InstalasiBiogas
#PusyankeswannakJakarta",Climate change,POSITIVE
